Gene stable ID	Gene name
YLR365W	
YOR047C	STD1
YLR222C	
YPR183W	DPM1
YOR396C-A	
YER077C	
YDR348C	
YKL030W	
YGR295C	
YER039C	HVG1
YPL230W	USV1
YFL007W	BLM10
YLR371W	
YMR061W	
YPL159C	
YMR288W	
YMR166C	
YHR142W	
YJR111C	
YPL152W	RRD2
YJR113C	
YDR230W	
YDR131C	
YEL020W-A	
YLR116W	MSL5
YIR040C	
YLR013W	
YBR125C	PTC4
YPL216W	
YOR290C	SNF2
YEL012W	UBC8
YLR179C	
YDR297W	SUR2
YBR191W	RPL21A
YKL060C	FBA1
tV(AAC)G2	
YDL215C	GDH2
YJL205C	NCE101
YGL133W	
YOR355W	
YIL061C	SNP1
YGR078C	PAC10
YJR020W	
YAR068W	
YLR417W	VPS36
YDL129W	
YPR064W	
YPL082C	MOT1
YMR101C	
YBR299W	MAL32
YDL088C	ASM4
YKR034W	DAL80
tF(GAA)G	
YOR199W	
YOR005C	DNL4
YCR081W	SRB8
YHR143W-A	RPC10
YMR296C	LCB1
YMR212C	
YDR039C	
YFL027C	
YJL075C	
tF(GAA)B	
YBR219C	
YBL032W	HEK2
YFR039C	
YER184C	
YBR114W	RAD16
YBR267W	
RDN5-1	RDN5-1
tH(GUG)G2	
YIL009C-A	
YMR153C-A	
YPL035C	
YDR075W	
YER060W-A	
tI(AAU)I1	
YNL135C	FPR1
YPR107C	
tX(XXX)L	
YOL001W	PHO80
YNL032W	SIW14
YHR060W	VMA22
YOR187W	TUF1
YMR127C	SAS2
YDL223C	
YDR156W	RPA14
YDR167W	TAF10
YLL065W	YLL065W
YGR281W	YOR1
YIL060W	
YJL015C	
YPL146C	NOP53
YGL148W	
YPR133W-A	TOM5
YAL044C	
YOR151C	RPB2
YNL046W	
YJL003W	
YEL058W	PCM1
tV(AAC)O	
YNL325C	
YLR369W	SSQ1
YGL004C	
YJL196C	
YPR015C	
YMR013C	
YHL013C	
YER165W	
YIL089W	
YNL062C	GCD10
YML059C	
YML086C	
YPL036W	
YOR161C-C	
YBL061C	SKT5
YIL166C	
YHR216W	IMD2
YER182W	
YGR190C	
YKR005C	
YJR162C	
YMR186W	HSC82
YJL152W	
YMR169C	
YDR274C	
tI(AAU)E1	
YBL083C	
YCL056C	
YGL223C	COG1
YJL098W	
YOR396W	
YJL120W	
YLR332W	MID2
snR71	
YNL285W	
YIL029W-A	
YOL066C	RIB2
YNL247W	
YPR102C	RPL11A
YBR287W	YBR287W
YGL007C-A	
YGL175C	SAE2
YHR071W	
YIL095W	PRK1
YHR107C	CDC12
YOL166W-A	
YLR050C	
YCR010C	ADY2
YNL161W	
YOR055W	YOR055W
YGL063C-A	
YMR306W	
YAR066W	
YGL128C	
YPR048W	
YLR345W	
YPR140W	
YKL208W	CBT1
Q0045	COX1
YKL058W	
YGL030W	RPL30
YHR209W	
YJL082W	
YKR017C	
YER126C	
YDR110W	FOB1
YKR040C	
YGL033W	
tG(CCC)D	
YKL046C	
YLR236C	
YGR165W	
YML103C	
YFL010W-A	AUA1
YNL338W	
YGR193C	
YJL197C-A	
YLR439W	MRPL4
YKL001C	
YKL078W	
YJL062W	LAS21
YPL245W	
YBR058C-A	
YNL106C	INP52
YNL204C	SPS18
YDR211W	
YDL109C	
YIL111W	
YOR117W	RPT5
YOR074C	CDC21
YKL223W	
YPL170W	
YHR072W	
YOR077W	RTS2
YAL043C	PTA1
YPL283W-A	
YEL075W-A	YEL075W-A
YPL115C	
YBR268W	MRPL37
YJR022W	
YER025W	GCD11
YPL226W	
YLR348C	
YNL320W	
YEL070W	
YMR034C	
YJL178C	ATG27
YMR310C	
YKL132C	
YBR286W	APE3
YKR032W	
YOL163W	
YDR524C-A	YDR524C-A
YGR044C	RME1
YJL133C-A	
YCR023C	
YLR057W	
YIL024C	
YHR131W-A	
YJL141C	
YPR192W	
YOR304W	
YLR009W	
YDL050C	
YEL048C	
snR64	
YBR196C-A	
YLL024C	SSA2
YOR255W	
YNL141W	
YDR535C	
YML034W	SRC1
YDR202C	
YBL091C-A	
YER099C	
YGL002W	
YMR131C	
YGL123C-A	
YLL048C	YBT1
YPL150W	
YBR113W	
YCL067C	HMLALPHA2
YMR263W	
YOR289W	
YCL025C	AGP1
YDL132W	
YKL186C	
YCL043C	PDI1
YOL100W	
tL(CAA)G3	
YML031C-A	YML031C-A
YDR034C-A	
YOR337W	
YDL013W	SLX5
YDR534C	
YLR157C	ASP3-2
YGL039W	
YCR012W	
YOL086W-A	
YHR049W	
YMR113W	
YPL055C	
YBR213W	
YLR226W	BUR2
YCR075C	
YDR392W	
YAL051W	OAF1
YPL079W	RPL21B
YDR178W	SDH4
YDR121W	
YJL013C	
YDL063C	
Q0060	AI3
YJL109C	
YJR155W	
YKL177W	
YDR435C	
YIL012W	
YDR461W	
YHR111W	UBA4
YNL033W	
YDR455C	
YKL072W	
YKL003C	
YMR314W	
YHR139C-A	
YLR070C	
YDL069C	
YBR183W	YPC1
YER026C	CHO1
YOL083C-A	
YDR073W	
YDL017W	CDC7
YCR093W	CDC39
YML051W	
YLL002W	RTT109
YPL068C	
YIL090W	
YNL018C	
YBR050C	
YMR081C	ISF1
YBL097W	
YJL049W	
YLR334C	
YMR231W	PEP5
YGR107W	
YBR172C	
YIL021C-A	
YDR260C	SWM1
YKL165C	MCD4
YPR175W	
YOR097C	
YDR210W	
YLR062C	
YNL024C	
YLR339C	
YLR305C	
tT(UGU)P	
YNR024W	
YDL130W-A	STF1
YPR022C	
YPL161C	BEM4
YLR107W	
tR(UCU)Q1	
YJR135C	
YLR139C	
YKL085W	
snR54	
YGR017W	
YDR322C-A	TIM11
YFL021C-A	
YOL123W	HRP1
YCR026C	
tD(GUC)B	
YHR205W	SCH9
YLR038C	
tR(UCU)G3	
YCR044C	PER1
YNL160W	
YLR182W	SWI6
YJL191W	RPS14B
YDR139C	
YGL019W	CKB1
YHR183W	
YLR132C	
YLR064W	
YER107W-A	
YER174C	
YDL043C	PRP11
YFR031C	
YGL231C	
tH(GUG)E1	
YOR195W	
tI(AAU)I2	
snR67	
YML107C	
YDL093W	
tL(CAA)G2	
YNR035C	ARC35
YGL027C	CWH41
YNL303W	
YBR208C	DUR1,2
tR(UCU)M1	
YBL020W	
YER067C-A	
YER090C-A	
YGR129W	SYF2
YKR060W	
YNR061C	
YJR141W	
YBR148W	
YBR164C	ARL1
YGR140W	CBF2
YOR305W	
YGL126W	SCS3
YGR088W	CTT1
YBR112C	CYC8
YCR047C	
YCR067C	
YHR187W	IKI1
YHR005C	GPA1
YCL050C	APA1
tK(CUU)M	
YDR333C	
YKL045W	
YIL122W	
YNL176C	
YBL019W	APN2
YKL043W	
YPL110C	
YDR527W	
YGL172W	NUP49
tV(UAC)B	
YER112W	LSM4
YOR200W	
YHR212C	
YHR079C-A	SAE3
YPR114W	
YKR065C	PAM17
YJR054W	
YPL050C	
YGL139W	FLC3
YHR010W	RPL27A
tT(UGU)G1	
YBR088C	POL30
YML067C	
YMR147W	
YDR020C	DAS2
YMR272W-B	
YHL005C	
YPR158W	
YIR036C	
YDR030C	
YPL274W	
YLR437C-A	
YDL067C	
YMR049C	
YGL258W	
YBR055C	PRP6
YJL094C	
YGR225W	AMA1
YMR038C	CCS1
YFR033C	QCR6
YMR247W-A	
YMR062C	ARG7
YJL023C	
YCL014W	BUD3
YJL166W	QCR8
YJL214W	
YER097W	
YNL274C	
YJL126W	
YOR205C	GEP3
YNL164C	
YER165C-A	
YJR097W	JJJ3
YOR192C-C	
YPR097W	
YMR323W	
tR(ACG)O	
YJR070C	LIA1
YDL179W	
YBR266C	
YKR075C	
YDL102W	POL3
YCL058C	FYV5
YJL215C	
YMR234W	
YLR454W	
YLR212C	
YPL011C	TAF3
YNL013C	
YGL014C-A	
YJL105W	
YDR182W	CDC1
YBL071W-A	KTI11
YBR269C	
YLR451W	
YHR089C	
YGR135W	
YLR162W	
YER041W	
YDR006C	
YCL017C	NFS1
YLR076C	
YGR070W	ROM1
YDR010C	
YOR136W	
YER074W-A	
tY(GUA)O	
YPR081C	
YDR498C	
YJR104C	SOD1
YLR147C	SMD3
YDL224C	
YHR162W	
YFR054C	
YGR229C	SMI1
YLR005W	
YDR082W	
YJL124C	LSM1
YBL107W-A	
YDR216W	
YCR068W	ATG15
YGR161W-C	
YNL083W	
YKL106W	
YLR115W	CFT2
YDR325W	YCG1
ICR1	
YHL050C	
YGL249W	
YJL053W	PEP8
YDR372C	VPS74
YGR173W	RBG2
YAR042W	SWH1
YPL273W	
RDN5-6	RDN5-6
YDL222C	
YIL087C	AIM19
YNR027W	
YCR095C	
YER162C	
YER090W	
YGL215W	
YBR016W	
YFL025C	BST1
YLR208W	SEC13
YHR030C	SLT2
YDR395W	SXM1
YMR282C	AEP2
YMR056C	
YPL203W	TPK2
YIL041W	
YDL210W	
YLR149C	
YGL005C	COG7
YDR132C	
YOR161W-B	
YBR015C	MNN2
YER156C	
YLL039C	UBI4
YPL214C	
YGL007W	
YFR025C	
YGL245W	GUS1
YDR464W	
YBR037C	SCO1
YDR154C	
YAL068C	
YPR059C	
YFL063W	
YGL141W	
YEL014C	
YGL251C	HFM1
YPR091C	
YFL013W-A	
YJL116C	
YDR341C	YDR341C
YKL012W	
YBL078C	ATG8
YAR035C-A	
YGR234W	YHB1
YPR126C	
YPL117C	IDI1
YLR434C	
YPL120W	VPS30
YMR153W	
YGR267C	
YJR003C	
YHR193C	
YEL030C-A	
YPL048W	CAM1
YNL132W	
YOL080C	
YDR444W	
YPL083C	SEN54
YGR271C-A	EFG1
YDR419W	RAD30
YIR009W	MSL1
snR189	
YOR254C	SEC63
YCL066W	HMLALPHA1
YKR020W	VPS51
YIL033C	BCY1
YJL115W	ASF1
YPR041W	TIF5
YOR218C	
YIR010W	
YOR147W	
YGL101W	
YNL172W	
YMR031W-A	
YGL053W	
YKL042W	
YGR253C	PUP2
YHR159W	
YJL169W	
YHR199C	AIM46
YBR185C	
YKL037W	
YDR423C	CAD1
tM(CAU)E	
YJL035C	
YOL093W	
YDR017C	
YIL036W	CST6
YJR089W	
YPL124W	SPC29
YLR354C	
YJL042W	
YEL053W-A	
YDR005C	
YJR107W	
YLR422W	
YDR098C	
YKR030W	GMH1
YPL232W	
YMR001C-A	
YCR099C	
tV(UAC)D	
YAL019W-A	
YGL135W	RPL1B
YDR280W	
YJL154C	VPS35
YIL113W	
YLR387C	
YDR328C	SKP1
YJL155C	
YOR109W	INP53
YLR386W	
YDR185C	UPS3
YHR129C	ARP1
YNR010W	CSE2
YIR007W	
YPR027C	
YJL004C	
YDL042C	SIR2
YGL069C	YGL069C
YPL095C	
YIR035C	
YKL159C	
YPR127W	
YFR037C	RSC8
YKL161C	KDX1
YLR061W	RPL22A
YNL330C	RPD3
YER079C-A	
YHL011C	
YIL114C	POR2
YPL243W	
YDR541C	
YBR277C	
YOR108C-A	
YNL016W	PUB1
YEL009C	GCN4
YNL316C	
YNR003C	RPC34
YLR380W	CSR1
YMR013C-A	
YNL113W	RPC19
YKL079W	
YDR056C	
YDL240W	
YJR102C	VPS25
YKR095W-A	
YPR138C	
YOR225W	
YGL108C	
YGL221C	
YDR183C-A	
YCR050C	
YOR028C	CIN5
YOR169C	
YBR186W	
YOR080W	DIA2
YBL006C	LDB7
YOR235W	
YER036C	
YLR442C	SIR3
YLR024C	
YLR326W	
YIL013C	
YLR122C	
YJR015W	
YLR396C	VPS33
YER084W-A	
YHL046W-A	
tQ(UUG)Q	
YLR042C	
YEL056W	
tK(CUU)G2	
YER140W	
YNL298W	CLA4
YPR055W	
YOL126C	
YPL206C	
YIR006C	PAN1
YGL205W	POX1
tP(UGG)N1	
tR(CCG)L	
YGR290W	
YGR022C	
YOL121C	RPS19A
YLR183C	
YIL145C	
YNL139C	THO2
YBR274W	
YJL071W	ARG2
YLL028W	
YER091C-A	
YGR189C	
YHR152W	
YPL283C	YRF1-7
YJR118C	
YLR130C	
YDR184C	ATC1
YPL268W	
YGR185C	TYS1
YOR016C	
YHL019W-A	
YHR039C	
YPL021W	ECM23
YNL047C	SLM2
YDR122W	
YGR169C-A	YGR169C-A
YBR235W	
YHR114W	BZZ1
YLR306W	
YDR054C	CDC34
YOR138C	
YLR351C	
YKR077W	
YMR032W	HOF1
YMR228W	
YLR242C	
YJR123W	RPS5
YOL068C	
YNL282W	
YMR146C	
YCR084C	TUP1
YLR428C	
YNL096C	RPS7B
YMR251W-A	
YBR046C	
YER059W	
YIR017W-A	
YLR265C	NEJ1
YJL046W	AIM22
YEL061C	CIN8
YOR165W	
YIL148W	RPL40A
YOR011W-A	
YAL041W	CDC24
YDR424C	DYN2
YDR194C	
YGR239C	
YBR108W	
YAL044W-A	
YOL023W	
YBR076C-A	
YPL046C	
YDR141C	
YDR288W	
YBR194W	AIM4
YGR201C	
tL(UAA)L	
YCR090C	
YLR461W	
YER190C-B	
YOL108C	
YJR148W	BAT2
YJL123C	
YHR218W	
YMR247C	RKR1
YOL086C	ADH1
YNL287W	
YLL064C	
YCR013C	
YMR152W	
YEL051W	
YNL095C	
YHR021W-A	
YOL028C	
YMR267W	PPA2
YJL065C	
YLR154C	RNH203
YFL001W	DEG1
YMR230W	RPS10B
YCL073C	
YIL054W	
YGR056W	
YLR154W-A	YLR154W-A
YDR051C	
YNR060W	
YDR353W	
YKL089W	
tR(UCU)J1	
YBR018C	
YKL044W	
YEL063C	
YHR053C	CUP1-1
YPR010C	RPA135
YLR199C	PBA1
YDR021W	
YER119C-A	
YGL041C-B	
YBR292C	
YPR079W	
YDL194W	
YDR049W	
YMR039C	SUB1
YKL026C	
YMR128W	ECM16
YDR209C	
YER133W-A	
YIL177C	
YGL238W	CSE1
YOR087W	YVC1
YPR095C	
YPL016W	SWI1
YJL041W	
YJR122W	IBA57
tE(UUC)E3	
YER074W	RPS24A
YGL109W	
YPL251W	
YGL234W	
YJL033W	HCA4
YNL339C	YRF1-6
YBR066C	
YOL133W	HRT1
YDR388W	
YMR269W	TMA23
YPL260W	
YHR200W	RPN10
YKL145W-A	
tE(UUC)I	
YMR188C	
YGR264C	MES1
YHR069C	
YDR233C	
YBL048W	
YLR095C	
YBR196C-B	
YDR235W	PRP42
YNR063W	
tL(CAA)G1	
YOL018C	
YEL013W	VAC8
YJL091C	
YOR045W	TOM6
YER087C-B	SBH1
YHR041C	SRB2
YER056C	FCY2
YBR095C	RXT2
YHL049C	
YDL118W	
YBL011W	SCT1
YGR293C	
YDL137W	
YDL193W	
YOR186W	
YMR102C	
YCL061C	MRC1
YBL102W	
YDR509W	
YOR065W	CYT1
YEL001C	
YGL164C	
YJL045W	YJL045W
YOR201C	MRM1
YKL006C-A	
YHR028W-A	
YPL173W	MRPL40
YBL105C	PKC1
YLR162W-A	
YKL164C	PIR1
YLR462W	
YPR098C	
YDR490C	
RDN37-2	RDN37-2
YDR516C	
YKR096W	
YIL173W	
YMR171C	
tQ(UUG)D1	
YGR236C	
YML029W	
snR38	
YJL069C	
YNR037C	
YEL022W	
YKL054C	DEF1
snR190	
YBL090W	MRP21
YDR347W	
YFR032C	
YJL130C	
YMR090W	
YHR042W	NCP1
YGL124C	MON1
YPL156C	
YGR235C	MOS2
YJR087W	
tK(CUU)I	
YLR148W	PEP3
YDR445C	
YOR073W	SGO1
YER148W	SPT15
YML124C	
YDR452W	PPN1
YGR117C	
YDL196W	
YGR254W	ENO1
snR47	
YER188C-A	
YLR243W	
YMR293C	HER2
YJL218W	
YDR437W	
YOR064C	YNG1
YBR138C	YBR138C
YCR082W	
YKL147C	
YAR015W	
YJL057C	
YDR529C	QCR7
YBR178W	
YER086W	ILV1
YOR003W	
YOR051C	ETT1
YOL159C-A	
YNL081C	
YGL031C	RPL24A
YGL085W	
YDL238C	
YMR069W	NAT4
YDL078C	
YFR016C	
YGR280C	PXR1
YIL001W	
YDR303C	
YAL033W	POP5
YCR028C	
YLR218C	COA4
YKL212W	SAC1
YMR119W-A	
YML105C	
YDR440W	DOT1
YNL328C	
YJL151C	
YJR047C	ANB1
YML072C	
YIR028W	
YJL138C	TIF2
YOL040C	RPS15
YOR351C	MEK1
YFR051C	
YHR038W	RRF1
YPR054W	
YDR314C	
YDR467C	
YOR329C	SCD5
YLR028C	
YER045C	
YFR010W-A	
YPR144C	NOC4
YPL249C-A	RPL36B
YLR043C	TRX1
YMR125W	STO1
YDL134C	PPH21
YGR121C	MEP1
YMR325W	
YPR128C	
YER088W-B	
YMR141W-A	
YDR117C	TMA64
tK(CUU)K	
YGL043W	DST1
YGR139W	
YOR156C	NFI1
YDL226C	
YJL121C	RPE1
YGL182C	
YGR061C	
YHR158C	
YGR213C	
YML070W	
YOL038C-A	
YCL064C	
YBR144C	
YMR015C	ERG5
YML071C	COG8
YFR028C	CDC14
YOR129C	
YIL088C	
tV(UAC)Q	
tT(AGU)H	
YMR145C	NDE1
YJL222W	
YDR517W	
YLR178C	TFS1
YDR371C-A	
tF(GAA)P1	
YNL258C	DSL1
YLR441C	RPS1A
YGR119C	
YJR013W	GPI14
YIR027C	
YDR246W-A	
YNL339W-B	
YBR151W	
YDL167C	
YBL005W	PDR3
YOR377W	
YDL037C	
YKL193C	SDS22
YDR223W	
YDL053C	
snR85	
YOR103C	
YGR093W	
YHR137W	
YBR226C	
YGL091C	
YPL141C	
YGR258C	
YBR141C	
YJR091C	JSN1
RUF21	
YMR243C	ZRC1
YPL235W	RVB2
YDL172C	
YNL230C	
YEL028W	
YAR073W	
YER095W	RAD51
YNL231C	PDR16
YPL183W-A	RTC6
YDR143C	
YGR207C	
YPL066W	
YOR152C	
YAL027W	
YHR013C	ARD1
YJL080C	
YOR269W	
SRG1	
YIR038C	
YFR052C-A	
tP(AGG)N	
YOR344C	TYE7
YPL049C	DIG1
YML065W	
YFL049W	
YDR062W	LCB2
YIL170W	
YLR237W	THI7
YDR327W	
YMR074C	
YIL121W	
YGL048C	RPT6
YKR010C	
YOR221C	
YOL047C	
YGL203C	
YMR164C	
tQ(UUG)D2	
YGR113W	
YIL171W-A	
YPR160W	
YDR381W	YRA1
YDR140W	
YDL117W	
YGR178C	PBP1
YER124C	
YGR144W	THI4
YMR252C	
YIL157C	COA1
YPL229W	
tK(CUU)G1	
YGL147C	RPL9A
YJR041C	URB2
YKL028W	
tT(AGU)B	
YNR053C	NOG2
YKR003W	
YKL146W	
tS(AGA)D1	
YLR446W	
YLR464W	
YBL030C	PET9
tY(GUA)J1	
YER168C	CCA1
YLR355C	
YIL046W	MET30
YDR479C	
YGR268C	
YNL134C	
YLR221C	
YGR220C	MRPL9
YDR100W	
YLR003C	
tS(AGA)L	
YNL010W	
YHL037C	
YJL056C	ZAP1
YFR043C	
YDL130W	RPP1B
YNL208W	
YFL060C	
YGR040W	
snR50	
YMR194W	RPL36A
YBR056W	
YGL029W	
YBR049C	REB1
YGL171W	
YNL171C	
YHR067W	HTD2
YOR247W	
YLR155C	ASP3-1
YOR276W	CAF20
YML102W	
YLR154W-E	
YPR163C	TIF3
YDL007C-A	
YCL021W-A	
YOR277C	
YDL095W	
YDR076W	
tW(CCA)G2	
YLR287C-A	RPS30A
YOR357C	SNX3
YER046W-A	
snR14	SNR14
tN(GUU)C	
YER187W	
YLR375W	
YLR416C	
YGR171C	MSM1
YMR209C	
YMR054W	
YDR013W	PSF1
YLR163W-A	
YFR009W-A	
YJL101C	
YHR122W	
YLR108C	
YCR028C-A	
YKR015C	
YDR454C	GUK1
YBR093C	PHO5
YGL041W-A	
tG(GCC)F2	
YMR005W	TAF4
YER076W-A	
YDL001W	
YKL137W	
YIR011C	STS1
YER145C-A	
YNL289W	PCL1
YKL205W	
YGR092W	
YHR134W	
YPR204C-A	
YPL191C	
YDR465C	
YHR028C	DAP2
YCR096C	HMRA2
YNL084C	
YDR250C	
YGR233C	PHO81
YKL059C	
YMR130W	
YLR257W	
YLL038C	
YML061C	PIF1
YKR037C	
YHR197W	RIX1
YJL028W	
YDL086C-A	
YIL038C	
YPR176C	
YLL007C	
YLR141W	
tD(GUC)L1	
YOR208W	
YMR238W	
YBR052C	
YHL026C	
YMR187C	
YGR066C	
YPL094C	SEC62
YNL237W	
YKL194C	
YLR204W	QRI5
tG(GCC)J2	
YOR356W	
YER117W	RPL23B
YDR519W	FPR2
tE(UUC)P	
tL(CAA)C	
YNL114C	
YDR511W	
YHR047C	AAP1
YDR234W	LYS4
YGL255W	
YCR059C	
YNR012W	
YJR094C	
YJR159W	SOR1
YGL114W	
YLR350W	
YLR312C	YLR312C
YNL109W	
YMR030W	
YDL008W	
YNL101W	
YGR155W	CYS4
tS(GCU)Q1	
YMR182W-A	
YDR015C	
YAR031W	
YML083C	
YLR124W	
tA(UGC)L	
YNL196C	
YIR020C	
tC(GCA)B	
YPL158C	
YAL029C	MYO4
YIL021W	RPB3
YLR063W	
YML024W	RPS17A
YER066C-A	
tQ(UUG)H	
YDR041W	
YJL063C	MRPL8
YNL138W-A	YSF3
YDR227W	SIR4
YNL296W	
YER106W	
YDR530C	
YDR412W	
YHR128W	
YDR301W	CFT1
YKL050C	
YPR105C	COG4
YPL135C-A	
YHL024W	
YLR392C	
YCR004C	
YDR355C	
YMR037C	
YDL011C	
YIL007C	
YNL097C-B	YNL097C-B
YNR034W-A	
YBR181C	RPS6B
tN(GUU)K	
YAL047C	SPC72
YHR057C	CPR2
YLL025W	
YLL018C	DPS1
YNL082W	
YOR133W	
YGR073C	
YPL269W	
tK(CUU)P	
